Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-21,-0.922272,54.270245,,0.38,2017-12-21,6,6,6,"Proposed erection of 4 no. semi-detached dwellings and 2 no. detached dwellings, the erection of garages and the creation and alterations of vehicular access points",Ryedale District Council,http://opendatacommunities.org/id/district-council/ryedale,not owned by a public authority,,,,pending decision,"Old Brickworks (southern part), North of Swineherd Lane, Kirkbymoorside",Kirbymoorside-01,https://www.ryedale.gov.uk/images/PDF/planning/Old_Brickworks_North_of_Swineherd_Lane_Kirkbymoorside.pdf,,,
yes,,2017-12-21,-0.929939,54.265842,,0.64,2017-12-21,19,19,19,"Site forms part of wider site with permission for erection of 8no. four bedroom dwellings, 16no. three bedroom dwellings, 20no. two bedroom dwellings and 2no. one bedroom dwellings with associated garaging and parking",Ryedale District Council,http://opendatacommunities.org/id/district-council/ryedale,not owned by a public authority,2011-04-21,reserved matters approval,,permissioned,"Former Russells (western part), New Road, Kirkbymoorside",Kirbymoorside-04,https://www.ryedale.gov.uk/images/PDF/planning/Russells_New_Road_Kirkbymoorside.pdf,,,
yes,,2017-12-21,-0.7894,54.139174,,1.4,2017-12-21,42,42,42,,Ryedale District Council,http://opendatacommunities.org/id/district-council/ryedale,owned by a public authority,,,,not permissioned,"Ryedale House, Old Malton Road, Malton",Malton-02,https://www.ryedale.gov.uk/images/PDF/planning/Ryedale_House_Malton.pdf,,,
,,2017-12-21,-0.786701,54.1328,,0.74,2017-12-21,22,22,22,"Erection of 37no. one bedroom apartments. 20no. two bedroom apartments, 5no. three bedroom dwellings with undercroft parking, private and communal amenity areas, landscaping, alteration to existing vehicular access and erection of street front commercial unit with one bed studio above",Ryedale District Council,http://opendatacommunities.org/id/district-council/ryedale,not owned by a public authority,2015-08-28,full planning permission,,permissioned,"Former ATS (Car Workshop), north of Commercial Street, Norton",Norton-07,https://www.ryedale.gov.uk/images/PDF/planning/ATS_car_workshop_North_of_Commercial_Street_Norton.pdf,,,
yes,,2017-12-21,-0.780016,54.145685,,0.46,2017-12-21,14,14,14,"Site forms part of wider site with permission for erection of 24no. four bedroom dwellings, 9no. three bedroom dwellings and 6no. two bedroom dwellings with associated garaging, parking, amenity areas and landscaping to include demolition and some rebuilding of existing site buildings",Ryedale District Council,http://opendatacommunities.org/id/district-council/ryedale,owned by a public authority,2017-01-27,reserved matters approval,,permissioned,"Former Highways depot, Westgate, Old Malton",Old_Malton-02,https://www.ryedale.gov.uk/images/PDF/planning/Former_Highways_Depot_Westgate_Old_Malton.pdf,,,
yes,,2017-12-21,-0.773669,54.241577,,0.48,2017-12-21,14,14,14,,Ryedale District Council,http://opendatacommunities.org/id/district-council/ryedale,owned by a public authority,,,,not permissioned,"Land South of Outgang Road, North of Crossgates Lane, Pickering",Pickering-02,https://www.ryedale.gov.uk/images/PDF/planning/FC_Site_Land_south_of_Outgang_Lane_North_of_Crossgates_Lane_Pickering.pdf,,,
