Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
,,2018-12-31,,,,0.12,2018-12-31,,,,,London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,ROM1
,,2018-12-31,,,,0.06,2019-11-27,,,,A number of prior approval applications since 2015,London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,ROM2
,,2018-12-31,,,,0.27,2019-11-27,,,,P1292.15 refused - Applicant to appeal - Pre-application advice sought,London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,ROM3
,,2018-12-31,,,,3.13,2018-12-31,,,,The site is withon the GL Housing Zone and the proosal has received a £12.4The site is in multiple ownership comprising of 37 residential properties and 17 commercial interets Approx 34 per cent of land is council or joint venture owned. Preperation is underway to use CPO,London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,ROM5
,,2018-12-31,,,,0.32,2018-12-31,,,,Pre-application advice sought,London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,BRK2
,,2018-12-31,,,,0.63,2018-12-31,,,,,London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,BRK10
,,2018-12-31,,,,0.78,2019-11-27,,,,,London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,STHH2
,,2018-12-31,,,,0.32,2018-12-31,,,,Site allocated in the Adopted Romford area Action PLan 2008 and is located within the Romford Strategic Development Area and has housing zone status as designated by the GLA,London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,ROM7
,,2018-12-31,,,,0.81,2018-12-31,,,,,London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,BRK11
,,2018-12-31,,,,2.24,2018-12-31,,,,"Allocated in the Romford Area Action Plan 2008, Identified in Romford Town Centre Development Framework, Romford Strategic Development Area(GLA Housing zone designation)",London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,ROM9
,,2018-12-31,,,,0.46,2018-12-31,,,,"Rainham and Beam Park Strategic Development Area (SDA), Housing Zone Status GLA designation",London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,STHH4
,,2018-12-31,,,,0.38,2018-12-31,,,,Rainham and Beam Park Straqtegic Development Area and Housing Zone Status (GLA designation),London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,STHH5
,,2018-12-31,,,,1.13,2018-12-31,,,,Rainham and Beam Park stategic Development Area and Housing Zone Status (GLA designation),London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,STHH6
,,2018-12-31,,,,,2019-11-27,,,,,London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,STHH7
,,2018-12-31,,,,0.53,2018-12-31,,,,Rainham and Beam Park Strategic Development Area and Housing Zones status (GLA Designation),London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,STHH14
,,2018-12-31,,,,0.78,2018-12-31,,,,,London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,STHH11
,,2018-12-31,,,,0.75,2019-11-27,,,,,London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,R&W2
,,2018-12-31,,,,,2018-12-31,,,,,London Borough of Havering,http://opendatacommunities.org/id/london-borough-council/havering,,,,,,,,https://www.havering.gov.uk/downloads/download/743/brownfield_land_register_and_site_maps,BRK3
