Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2017-12-01,-1.990854,49.900223,,0.3,2017-12-01,64,64,64,Reserved Matters Application pursuant to Outline Permission 01/02801/023/P dated 10.5.01 to demolish existing building and erect 5 blocks of 64 flats with ground floor parking and 2 retail units all with access from the The Quay.,Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2006-07-13,reserved matters approval,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_182810,permissioned,,"The Grain Silo, The Quay, Poole, BH15 1HA",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_182810,P/BLR/0001
yes,,2017-12-01,-1.994842,49.900223,,0.22,2017-12-01,31,31,31,"Refurbishment & remodelling works to existing Public House. Demolition of south west wing and rear single storey structures, erection of 31 flats.",Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2007-11-23,full planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_199509,permissioned,,"Broadstone Hotel, Station Approach, Poole, BH18 8AX",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_199509,P/BLR/0002
yes,,2017-12-01,-1.909566,49.900187,,0.35,2017-12-01,14,14,14,Demolish existing houses and erect 14 flats with basement and surface parking.,Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2009-12-31,full planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_211411,permissioned,,"46-48 Tower Road, Poole, BH13 6JA",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_211411,P/BLR/0003
yes,,2017-12-01,-1.945085,49.90021,,0.11,2017-12-01,9,9,9,Demolish existing building and erect 1 block of 9 apartments with basement parking.,Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2010-08-24,full planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_212119,permissioned,,"5 Highmoor Road, Poole, BH14 8SZ",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_212119,P/BLR/0004
yes,,2017-12-01,-1.942469,49.900209,,0.4,2017-12-01,4,4,4,Demolition of existing buildings and erection of four dwelling houses with integral garages (as amended plans received 10th May 2011) (Revised Scheme),Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2011-07-22,full planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_215436,permissioned,,"10 Crichel Mount Road, Poole, BH14 8LT",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_215436,P/BLR/0005
yes,,2017-12-01,-1.995999,49.900224,,0.44,2017-12-01,60,60,60,"Erection of two buildings to create a total of 60 apartments (revised scheme to planning permission 07/00913/020/F to increase the number of flats approved on the southern part of the Former James Brother site from 44 to 60, resulting in 113 flats on the James Bros Site overal.).",Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2012-03-07,full planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_216270,permissioned,,"Former James Brothers Site, Blandford Road, Poole, BH15 4AW",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_216270,P/BLR/0006
yes,,2017-12-01,-1.995167,49.900224,,1.09,2017-12-01,103,103,103,"Demolition of all existing buildings including no. 28 Blandford Road. Proposed mixed-use redevelopment comprising: 268 dwellings comprising 68no. 1-bedroom flats, 125no. 2-bedroom flats, 2no. 2-bedroom houses, 64no. 3-bedroom houses, 9no. 4-bedroom houses; 880 m2 GEA floorspace for Classes A1 and A3 uses; 11,556 m2 GEA floorspace Class B1 Business units; electricity substation; foul water pumping station; construction of new site entrance onto Blandford Road and associated access roads; 436 car parking spaces; cycle parking; public open space areas; and landscaping works. (Outline Application).",Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2012-12-11,outline planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_217365,permissioned,,"Pilkingtons Tiles Ltd., Blandford Road, Poole, BH15 4AR",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_217365,P/BLR/0007
yes,,2017-12-01,-1.995181,49.900224,,0.11,2017-12-01,8,8,8,Demolish existing and erect a block of 8 flats with basement car parking.,Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2012-08-15,full planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_219501,permissioned,,"6 Highmoor Road, Poole, BH14 8SZ",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_219501,P/BLR/0008
yes,,2017-12-01,-1.94608,49.90021,,0.12,2017-12-01,16,16,16,Reserved Matters Application for appearance and landscaping following approval of Outline Application 09/00698/P (APP/Q1255/A/10/2129885) granted on Appeal to demolish existing building and erect 16 studio flats.,Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2014-04-15,reserved matters approval,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_226619,permissioned,,"Land r/o 394-408 Ashley Road, Poole, BH14 0AA",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_226619,P/BLR/0009
yes,,2017-12-01,-1.990572,49.900223,,0.29,2017-12-01,9,9,9,Extension to provide 9 residential units with terraces.,Borough of Poole,http://opendatacommunities.org/id/unitary-authority/poole,,2014-10-02,full planning permission,https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_227237,permissioned,,"Voyager House, 253-257 High Street North, Poole, BH15 1DX",https://boppa.poole.gov.uk/online-applications/applicationDetails.do?activeTab=documents&keyVal=_POOLE_DCAPR_227237,P/BLR/0010
