Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
yes,,2017-12-07,0.103246,51.450165,,0.02,2017-12-07,5,5,5,15/00999/FUL. Demolition of existing office building and erection of a three storey residential building providing five studio apartments with associated bin store and provision of three parking spaces and bike parking area.,London Borough of Bexley,http://opendatacommunities.org/id/london-borough-council/bexley,not owned by a public authority,2015-07-14,full planning permission,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0027G9BELI000,permissioned,"1a Wellington Avenue, Sidcup",BLR001,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/1a-Wellington-Avenue-Sidcup_0.pdf,,,
yes,,2017-12-07,0.137412,51.457821,,0.02,2017-12-07,5,5,5,14/01611/PRIOR. Prior approval for the change of use of the first floor from Class B1(a) to residential flats Class C3 (dwellinghouses).,London Borough of Bexley,http://opendatacommunities.org/id/london-borough-council/bexley,not owned by a public authority,2014-10-31,other,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002BQPBELI000,permissioned,"1st Floor, 234-236 Broadway, Bexleyheath",BLR002,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/1st-floor-118-and-120-Welling-High-Street-Welling_0.pdf,,,
yes,,2017-12-07,0.179809,51.479028,,0.03,2017-12-07,5,5,5,16/01807/FUL. Erection of a part two/part three storey building to provide 3 x 1 bed and 2 x 2 bed flats.,London Borough of Bexley,http://opendatacommunities.org/id/london-borough-council/bexley,not owned by a public authority,2016-10-07,full planning permission,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=00027LBELI000,permissioned,"The Former Pop In Parlour, Cornelia Place, Erith",BLR003,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/The-former-Pop-in-Parlour-Cornelia-Place-Erith_0.pdf,,,
yes,,2017-12-07,0.177654,51.453438,,0.03,2017-12-07,5,5,5,17/00781/PRIOR. Prior notification for the change of use from storage (Class B8) to 5 studio flats (Class C3).,London Borough of Bexley,http://opendatacommunities.org/id/london-borough-council/bexley,not owned by a public authority,2017-05-23,other,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=002FIKBELI000,permissioned,"Ground Floor, 76 & 78 Crayford High Street, Crayford",BLR004,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Ground-floor-76-and-78-Crayford-High-Street-Crayford_0.pdf,,,
yes,,2017-12-07,0.101389,51.426664,,0.05,2017-12-07,5,5,5,09/01442/FUL01. Roof extension to existing building to form an additional 2 bedroom flat with new glazed openings to existing south elevation. Erection of one residential block to rear comprising of 3x2 bedroom and 1x1 bedroom flats with communal roof terrace.,London Borough of Bexley,http://opendatacommunities.org/id/london-borough-council/bexley,not owned by a public authority,2014-06-24,full planning permission,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=JJGRRHBE50001,permissioned,"Land to the rear of, 89 Sidcup High Street, Sidcup",BLR005,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/Land-to-the-rear-of-89-Sidcup-High-Street-Sidcup_0.pdf,,,
yes,,2017-12-07,0.136162,51.456332,,0.05,2017-12-07,5,5,5,"15/02772/FUL. Demolition of existing buildings and erection of two apartment blocks providing 5 apartments comprising 3 x 2 bed and 2 x 1 bed apartments. Provision of 3 car parking spaces, cycle and bin store and amenity areas.",London Borough of Bexley,http://opendatacommunities.org/id/london-borough-council/bexley,not owned by a public authority,2016-02-01,full planning permission,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0029S0BELI000,permissioned,"61-63 Lion Road, Bexleyheath",BLR006,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/61-to-63-Lion-Road-Bexleyheath_0.pdf,,,
yes,,2017-12-07,0.098618,51.437118,,0.06,2017-12-07,5,5,5,16/00689/FUL. Demolition of existing dwelling and erection of a three storey block comprising 2 x 1 bed and 3 x 2 bed apartments with parking and amenity space.,London Borough of Bexley,http://opendatacommunities.org/id/london-borough-council/bexley,not owned by a public authority,2016-06-07,full planning permission,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=OVYHQ2BE0MU01,permissioned,"41 Halfway Street, Sidcup",BLR008,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/41-Halfway-Street-Sidcup_0.pdf,,,
yes,,2017-12-07,0.180705,51.462491,,0.08,2017-12-07,5,5,5,16/01991/FUL. Erection of Part 2/Part 3 storey side and rear extension to provide 4 x 2 bed residential units with dormers to the rear and associated works including the provision of off-street parking spaces.,London Borough of Bexley,http://opendatacommunities.org/id/london-borough-council/bexley,not owned by a public authority,2017-04-19,full planning permission,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0025W5BELI000,permissioned,"17 Perry Street, Crayford",BLR011,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/17-Perry-Street-Crayford_0.pdf,,,
yes,,2017-12-07,0.101166,51.428997,,0.1,2017-12-07,5,5,5,16/01910/FUL. Alterations and single storey rear extension to provide 5 units of accommodation comprising 3 x 2 bed and 2 x 1 bed flats with associated amenity space.,London Borough of Bexley,http://opendatacommunities.org/id/london-borough-council/bexley,not owned by a public authority,2016-11-11,full planning permission,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001SG0BELI000,permissioned,"33 Station Road, Sidcup",BLR012,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/33-Station-Road-Sidcup_0.pdf,,,
yes,,2017-12-07,0.18062,51.454669,,0.17,2017-12-07,5,5,5,"16/00602/FUL. Erection of 5 x 3 bed terraced dwellings with new access, associated parking, landscaping, cycle and refuse storage and ancillary works.",London Borough of Bexley,http://opendatacommunities.org/id/london-borough-council/bexley,not owned by a public authority,2016-07-08,full planning permission,http://pa.bexley.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000ULNBELI000,permissioned,"48 Iron Mill Lane, Crayford",BLR013,http://www.bexley.gov.uk/sites/bexley-cms/files/2017-12/48-Iron-Mill-Lane-Crayford_0.pdf,,,
