Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
,,2018-01-15,1.156828,51.789301,,0.16,2018-01-15,23,23,23,"Demolition of all existing buildings (use classes C1 Hotels, A3 Restaurants, A4 Drinking Establishments and Sui Generis Nightclub). Construction of building fronting Rosemary Road containing three A1 retail/A3 restaurant units at ground floor with 17 holiday flats above; Construction of 34 holiday flats in an up to six storey building to the rear; and construction of basement cycle and car parking access from rear service road (off Beach Road), and egress onto Rosemary Road.",Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,,,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001GB1QBLI000,pending decision,"Sandles Inn, 26 Rosemary Road, Clacton On Sea, Essex CO15 1NZ",15/00578/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN3PR3QB0GD00,,,
yes,,2018-01-15,1.289262,51.9462,,0.02,2018-01-15,3,3,3,"Demolition of existing building (retail ground floor & residential 1st, 2nd, 3rd floors) and replacement with new residential 4 storey building providing 8 proposed apartments.",Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,2015-06-16,full planning permission,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001EL0QBLI000,permissioned,"20 - 20B Market Street, Harwich CO12 3DX",15/00615/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NN9NLWQB0GS00,,,
yes,,2018-01-15,1.271002,51.848196,,0.07,2018-01-15,8,8,8,"Demolition of existing commercial building and erection of new building containing 8 No. flats and 1 No. retail unit (Use Classes A1, A2 and A3), with associated parking, cycle and bin- stores",Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,2017-08-16,full planning permission,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MJAEN0QB03B00,permissioned,"27-31 High Street, Walton On The Naze, Essex CO14 8BN",17/01038/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=ORY6F4QB0EL00,,,
yes,,2018-01-15,1.15832,51.841011,,0.46,2018-01-15,7,7,7,Proposed conversion to 8 no. apartments. Change of use from C2 to C3.,Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,2017-09-27,full planning permission,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000F5JQBLI000,permissioned,"274 Harwich Road, Little Clacton, Clacton On Sea, Essex CO16 9PY",17/01048/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OS5W9RQB0KO00,,,
yes,,2018-01-15,1.11836,51.77336,,0.02,2018-01-15,7,7,7,Demolition of existing fire damaged building and erection of new block of flats.,Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,2017-02-02,full planning permission,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=000MBIQBLI000,permissioned,"7 Sea Pink Way, Jaywick, Essex CO15 2HQ",16/01358/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OCS432QB0GS00,,,
,,2018-01-15,1.245941,51.929875,,0.1,2018-01-15,9,9,9,Permission granted - expired 17.01.2015. Demolition completed.. Demolition of existing buildings and construction of 9 one bedroom flats.,Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,2012-01-17,,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001F68QBLI000,Not Permissioned,723 Main Road Harwich Essex,11/01124/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=LRYT6ZQB07Y00,,,
yes,,2018-01-15,1.210781,51.926884,,0.62,2018-01-15,8,8,8,Redevelopment of site with eight dwellings.,Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,2016-06-02,full planning permission,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MBL014QB03B00,permissioned,"Land Site of Former Ramsey Primary School, Wix Road, Ramsey, Essex",15/01575/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NW7EX1QB0GS00,,,
yes,,2018-01-15,1.064189,51.944707,,0.04,2018-01-15,7,7,7,"Alterations and extensions of existing vacant bank premises, to provide a retail unit and change of use to multi-residential accommodation. (1 Retail Unit, 6 Flats and 1 House).",Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,2017-11-10,full planning permission,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=001E5JQBLI000,permissioned,"2 High Street, Manningtree, Essex CO11 1AD",17/01479/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=OVUUROQB0LD00,,,
yes,,2018-01-15,1.247233,51.832491,,0.1,2018-01-15,8,8,8,"Demolition of existing buildings and redevelopment of site to provide retail units (use class A1) at ground floor level, eight two - bedroom residential units (use class C3) at first and second floor level, and associated parking and works.",Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,2014-07-15,full planning permission,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=MM0U3RQB03B01,permissioned,"70-84A Connaught Avenue, Frinton",14/00693/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=N6A5IUQB0G400,,,
yes,,2018-01-15,1.28496,51.940505,,0.05,2018-01-15,8,8,8,Erection of 8 x one bed flats,Tendring District Council,http://opendatacommunities.org/id/district-council/tendring,not owned by a public authority,2016-03-22,full planning permission,https://idox.tendringdc.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0012RFQBLI000,permissioned,"79 Stour Road, Harwich",15/01791/FUL,https://idox.tendringdc.gov.uk/online-applications/applicationDetails.do?activeTab=map&keyVal=NYF3JHQB01U00,,,
