Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,SiteNameAddress,SiteReference,SiteplanURL,entity,point,brownfield-land
,,2017-12-19,-1.456517,53.235298,,0.92,2017-12-19,,1,6,Parts of the site have potential for future residential develoment subject to consideration of the impact upon listed structures/buildings and scheduled ancient monuments.,,http://opendatacommunities.org/id/district-council/chesterfield,,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?activeTab=relatedCases&keyVal=0016PUEPLI000,not permissioned,"Brampton Manor, Old Road, Chesterfield",15,https://www.chesterfield.gov.uk/media/562063/15-brampton-manor-old-road-chesterfield.pdf,,,
yes,,2017-12-19,-1.452349,53.249598,,0.72,2019-12-09,,1,20,"The site has been occupied by a permanent structure but the remains have not sufficiently blended into the landscape over the process of time. There is a possibility that the site may be required to meet unmet open space needs but there is no conclusive evidence to this effect, Whilst the nearby junior school is at capacity certain types of residential development would be possible without an increase in demand for school places. Furthermore the potential for expansion of the nearby schools is as yet undetermined. Provided biodiversity impacts can be mitigated the site would be appropriate for residential development.",,http://opendatacommunities.org/id/district-council/chesterfield,owned by a public authority,2019-09-24,full planning permission,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&keyVal=0012F6EPLI000&previousCaseNumber=CHE%2F19%2F00239%2FFUL&activeTab=summary&previousKeyVal=PQ5A79EPFXD00,permissioned,"Brockwell Court (Former), Cheedale Avenue, Newbold, Chesterfield",16,https://www.chesterfield.gov.uk/media/562066/16-brockwell-court-former-cheedale-avenue-newbold.pdf,,,
yes,,2017-12-19,-1.440974,53.235801,,0.25,2019-12-09,,1,12,The site appropriate for residential development. Constraints identified within the LAA are likely to be mitigable.,,http://opendatacommunities.org/id/district-council/chesterfield,owned by a public authority,2019-09-24,full planning permission,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?keyVal=K72Y86EP00200&activeTab=summary,permissioned,"Catherine Street, Bank Street and Catherine Street Chesterfield",17,https://www.chesterfield.gov.uk/media/562069/17-catherine-street-chesterfield.pdf,,,
yes,,2017-12-19,-1.376965,53.274298,,0.69,2017-12-19,,1,20,"Whilst no local centre is nearby (notwithstanding any centre developed within the Staveley Rother Corridor), the site is still appropriate for residential development being in regeneration priority area. Identified constraints are likely to be mitigable.",,http://opendatacommunities.org/id/district-council/chesterfield,owned by a public authority,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=ORIZHUEPL8000&activeTab=summary&previousCaseNumber=CHE%2F17%2F00428%2FDEM&keyVal=0012KDEPLI000,not permissioned,"Land at Duewell Court, Station Road, Barrow Hill",18,https://www.chesterfield.gov.uk/media/562072/18-land-at-duewell-court-station-road-barrow-hill.pdf,,,
yes,,2017-12-19,-1.456377,53.233302,,0.2,2019-12-09,,1,10,"The site is appropriate for residential development in terms of access to centres, services and facilities. Identified constraints are likely to be mitigable.",,http://opendatacommunities.org/id/district-council/chesterfield,owned by a public authority,2019-01-29,full planning permission,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=O2P2KKEP00M00&activeTab=summary&previousCaseNumber=CHE%2F16%2F00096%2FDEM&keyVal=000RVOEPLI000,permissioned,"Heaton Court (Former), Meynell Close, Chesterfield",23,https://www.chesterfield.gov.uk/media/562075/23-heaton-court-former-meynell-close-chesterfield.pdf,,,
yes,,2017-12-19,-1.321949,53.2778,,0.41,2017-12-19,,1,14,The site is appropriate for residential development despite no local centre nearby and limited accessibility to services and facilities given that it is within a regeneration priority area. Identified constraints are likely to be mitigable.,,http://opendatacommunities.org/id/district-council/chesterfield,owned by a public authority,,,,not permissioned,"Miller Avenue, Mastin Moor, Chesterfield",32,https://www.chesterfield.gov.uk/media/562078/32-miller-avenue-mastin-moor.pdf,,,
yes,,2017-12-19,-1.414648,53.255702,,1.6,2018-12-11,,45,45,Development is under construction. 45 dwellings based on brownfield element.,,http://opendatacommunities.org/id/district-council/chesterfield,not owned by a public authority,2018-01-09,reserved matters approval,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=N6W98SEP00T00&activeTab=summary&previousCaseNumber=CHE%2F14%2F00404%2FOUT&keyVal=NV6DW0EP03B00,permissioned,"Land North-East of Sainsburys Roundabout, Rother Way, Chesterfield",49,https://www.chesterfield.gov.uk/media/562081/49-land-north-east-of-sainsburys-roundabout-rother-way-chesterfield.pdf,,,
yes,,2017-12-19,-1.446608,53.231099,,5.71,2017-12-19,,1,135,Application for full planning permission is pending consideration.,,http://opendatacommunities.org/id/district-council/chesterfield,not owned by a public authority,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=OUB3YTEP04100&activeTab=summary&previousCaseNumber=CHE%2F17%2F00566%2FTPO&keyVal=JFAROTEP20000,pending decision,"Boythorpe Works (Former), Goytside Road Chesterfield",64,https://www.chesterfield.gov.uk/media/562084/64-boythorpe-works-former-goytside-road-chesterfield.pdf,,,
yes,,2017-12-19,-1.421246,53.243303,,19.22,2019-12-11,,1550,1550,Outline planning permission receieved. CHE/19/00116/REM and CHE/19/00007/REM recently approved which covers 177 dwellings and the Basin Square area of the scheme.,,http://opendatacommunities.org/id/district-council/chesterfield,not owned by a public authority,2011-03-09,outline planning permission,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=OGSFD2EP02A00&activeTab=summary&previousCaseNumber=CHE%2F16%2F00762%2FDOC&keyVal=KRTIMDEP00200,permissioned,"Land At East Of A61 Known as Chesterfield Waterside, Brimington Road, Chesterfield",68,https://www.chesterfield.gov.uk/media/562912/68-land-east-of-a61-known-as-chesterfield-waterside.pdf,,,
yes,,2017-12-19,-1.45621,53.241804,,0.68,2017-12-19,,1,20,The site has been occupied by a permanent structure but the remains have not sufficiently blended into the landscape over the process of time. It is in a location accessible to a centre and with reasonable accessibility to services and facilities and it is likely that constraints can be mitigated.,,http://opendatacommunities.org/id/district-council/chesterfield,owned by a public authority,,,https://publicaccess.chesterfield.gov.uk/online-applications/propertyDetails.do?previousCaseType=Application&previousKeyVal=OGDF9GEP02A00&activeTab=summary&previousCaseNumber=CHE%2F16%2F00745%2FTPOEXP&keyVal=00147YEPLI000,not permissioned,"Ashbrook Centre (Former), Cuttholme Road, Chesterfield",91,https://www.chesterfield.gov.uk/media/562087/91-ashbrooke-centre-former-cuttholme-road-chesterfield.pdf,,,
