Deliverable,EndDate,FirstAddedDate,GeoX,GeoY,HazardousSubstances,Hectares,LastUpdatedDate,MinNetDwellings,NetDwellingsRangeFrom,NetDwellingsRangeTo,Notes,OrganisationLabel,OrganisationURI,OwnershipStatus,PermissionDate,PermissionType,PlanningHistory,PlanningStatus,point,SiteNameAddress,SiteplanURL,SiteReference
yes,,2017-12-19,,,,0.04,2017-12-19,,11,11,"Erection of 2 x 2-bed houses and 9 flats with balconies comprising of 1 x 3-bed, 3 x 2-bed and 5 x 1-bed with parking under, involving demolition of existing building",,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,2007-09-12,full planning permission,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=JEJ0UJHEO1000,permissioned,,"Land at, 35 North End, Wisbech, PE13",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,BLR0001
yes,2019-12-19,2017-12-19,,,,0.32,2019-12-19,,17,17,"Erection of 17 dwellings comprising; 3 x 1-bed and 3 x 2-bed flats, 6 x 3-bed semi-detached houses, 2 x 4-bed semi-detached houses with integral single garage, 1 x 3-bed detached house and 2 x 4-bed detached houses with integral single garages involving demolition of existing buildings (renewal of planning permission F/YR06/0706/F)",,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,2010-07-05,full planning permission,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=L07EF9HE01U00,permissioned,,"PILGRIMS OF MARCH, DARTFORD ROAD, MARCH, PE15 8BD",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,BLR0002
yes,,2017-12-19,,,,0.66,2017-12-19,,18,18,Erection of 18 dwellings comprising 2 x 3-bed; 8 x 4-bed and 8 x 5-bed dwellings with associated parking involving the demolition of the existing building,,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,2015-05-08,full planning permission,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=N5VNDCHE06P00,permissioned,,"Davern Workwear Ltd, Elliott Road, MARCH, PE15 8QU",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,BLR0003
yes,,2017-12-19,,,,0.48,2017-12-19,,14,14,"Erection of 14 x 3-storey dwellings comprising; 3 x 5-bed with attached single garages; 4 x 5-bed with associated parking (plot 1 with detached double garage); 3 x 4-bed and 4 x 3-bed all with associated parking, involving part demolition of existing warehouse",,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,2014-12-19,reserved matters approval,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=N1IC4EHE08000,permissioned,,"Land East of Davern Workwear Ltd, Elliott Road, MARCH, PE15 8QU",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,BLR0004
yes,2019-12-19,2017-12-19,,,,0.17,2017-12-19,,6,6,Erection of 6 dwellings involving demolition of existing dwelling and replacement fence to No.16 (renewal of planning permission F/YR10/0254/O),,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,2014-05-08,outline planning permission,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=MNAPFYHE06P00,permissioned,,"18, Westfield Road, Manea, MARCH, PE15 0LN",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,BLR0005
yes,2019-12-19,2017-12-19,,,,0.49,2017-12-19,,12,12,"Erection of 12 dwellings with garages comprising; 6 x 3-bed single-storey, 4 x 3-bed 2-storey and 2 x 4-bed 2-storey, involving demolition of existing dwelling and outbuilding",,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,2016-04-29,full planning permission,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=NQ1HMYHE08000,permissioned,,"100, Mill Road, Whittlesey, Cambridgeshire, PE7 1SW",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,BLR0006
yes,2019-12-19,2017-12-19,,,,0.04,2017-12-19,,9,9,Change of use from Offices to 9 x flats,,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,2016-09-05,other,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=OAIBI1HE08000,permissioned,,"4-6, Stermyn Street, WISBECH, PE13 1EQ",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,BLR0007
yes,,2017-12-19,,,,0.21,2017-12-19,,10,10,"Erection of 10 houses comprising; 4 x 2-bed semi-detached, 4 x 3-bed semi-detached and 2 x 3/4-bed semi-detached with integral car port, associated parking and landscaping including 1.8 metre high walls and close boarded fencing involving demolition of existing warehouse (renewal of planning permission F/YR08/1070/F)",,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,2012-08-28,full planning permission,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=LQ64KOHE01U00,permissioned,,"AWARE HOUSE LEARNING DEVELOPMENT AIDS LIMITED, DUKE STREET, WISBECH, CAMBRIDGESHIRE, PE13 2AE",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,BLR0008
yes,2019-12-19,2017-12-19,,,,0.49,2017-12-19,,30,30,"Erection of 30no dwellings comprising of 15 x 2-storey 2-bed, 10 x 2-storey 3-bed, 1 x 2-storey 4-bed, 3 x 3-storey 3-bed and 1 x 2-bed flat with garage block below and associated parking involving demolition of existing dwelling and buildings",,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,2015-01-21,full planning permission,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=MSYJ73HE01U00,permissioned,,"64, Whitmore Street, 17 and 11 Windmill Street, WHITTLESEY, PE7 1HP",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,BLR0009
yes,,2017-12-19,,,,0.94,2017-12-19,,22,22,"Erection of 22 dwellings: 2 x 2-storey block of flats comprising of 10 x 1-bed dwellings, and erection of 1 x single-storey 2-bed, 11 x 2-storey 2-bed dwellings, including sheds, refuse store and cycle store involving demolition of existing care home (retrospective) and works to western footpath of Kingswood Road",,http://opendatacommunities.org/id/district-council/fenland,not owned by a public authority,2013-12-19,full planning permission,https://www.fenland.gov.uk/publicaccess/applicationDetails.do?activeTab=summary&keyVal=MTF4I5HE0B200,permissioned,,"Site Of Former Kingswood Park Residential Home Kingswood Road March Cambridgeshire , PE15 9RT",https://fenland.gov.uk/media/16168/Brownfield-Land-Register-2019---Site-Maps/pdf/BLR2019_Atlas.pdf,BLR0010
